crash_id,unit_nbr,VEH_BODY_STYL_ID
15261577,2,MOTORCYCLE
15241953,1,MOTORCYCLE
15238746,2,MOTORCYCLE
15304625,2,MOTORCYCLE
15245674,2,MOTORCYCLE
15276404,2,MOTORCYCLE
15239066,1,MOTORCYCLE
15233682,1,MOTORCYCLE
15234755,1,MOTORCYCLE
15298226,2,MOTORCYCLE
15253886,2,MOTORCYCLE
15290767,2,MOTORCYCLE
15226183,1,MOTORCYCLE
15242170,1,MOTORCYCLE
15235232,2,MOTORCYCLE
15258630,2,MOTORCYCLE
15234838,1,MOTORCYCLE
15242539,1,MOTORCYCLE
15243364,1,MOTORCYCLE
15238743,2,MOTORCYCLE
15241352,1,MOTORCYCLE
15277247,2,MOTORCYCLE
15261308,1,MOTORCYCLE
15266801,1,MOTORCYCLE
15227142,1,MOTORCYCLE
15228061,1,MOTORCYCLE
15234985,2,MOTORCYCLE
15254690,1,MOTORCYCLE
15226469,1,MOTORCYCLE
15245906,2,MOTORCYCLE
15258469,2,MOTORCYCLE
15250758,2,MOTORCYCLE
15255249,1,MOTORCYCLE
15283078,1,MOTORCYCLE
15270266,1,MOTORCYCLE
15217035,1,MOTORCYCLE
15353342,1,MOTORCYCLE
15413514,1,MOTORCYCLE
15376983,2,MOTORCYCLE
15312081,1,MOTORCYCLE
15356285,1,MOTORCYCLE
15390353,3,MOTORCYCLE
15347036,2,MOTORCYCLE
15432490,1,MOTORCYCLE
15443852,1,MOTORCYCLE
15368432,2,MOTORCYCLE
15456193,1,MOTORCYCLE
15359861,1,MOTORCYCLE
15309478,1,MOTORCYCLE
15334385,2,MOTORCYCLE
15322225,2,MOTORCYCLE
15371765,2,MOTORCYCLE
15415081,1,MOTORCYCLE
15440548,2,MOTORCYCLE
15386364,1,MOTORCYCLE
15468104,1,MOTORCYCLE
15434688,1,MOTORCYCLE
15431850,1,MOTORCYCLE
15431483,1,MOTORCYCLE
15423499,1,MOTORCYCLE
15427215,1,MOTORCYCLE
15311401,1,MOTORCYCLE
15334831,2,MOTORCYCLE
15306789,2,MOTORCYCLE
15457046,2,MOTORCYCLE
15396023,1,MOTORCYCLE
15344553,2,MOTORCYCLE
15431747,6,MOTORCYCLE
15347363,1,MOTORCYCLE
15430315,1,MOTORCYCLE
15379778,1,MOTORCYCLE
15443852,2,MOTORCYCLE
15313056,1,MOTORCYCLE
15317167,2,MOTORCYCLE
15412770,1,MOTORCYCLE
15379509,3,MOTORCYCLE
15411434,3,MOTORCYCLE
15388050,1,MOTORCYCLE
15422913,1,MOTORCYCLE
15307231,1,MOTORCYCLE
15378703,2,MOTORCYCLE
15436960,2,MOTORCYCLE
15329801,1,MOTORCYCLE
15463237,1,MOTORCYCLE
15372894,1,MOTORCYCLE
15471307,1,MOTORCYCLE
15384891,1,MOTORCYCLE
15460979,3,MOTORCYCLE
15443591,1,MOTORCYCLE
15326788,1,MOTORCYCLE
15390994,2,MOTORCYCLE
15359650,1,MOTORCYCLE
15452308,3,MOTORCYCLE
15315969,1,MOTORCYCLE
15425248,4,MOTORCYCLE
15360571,2,MOTORCYCLE
15377621,2,MOTORCYCLE
15389820,2,MOTORCYCLE
15454255,1,MOTORCYCLE
15329261,2,MOTORCYCLE
15397658,2,MOTORCYCLE
15356779,2,MOTORCYCLE
15431895,1,MOTORCYCLE
15317011,1,MOTORCYCLE
15438632,2,MOTORCYCLE
15375497,1,MOTORCYCLE
15344487,1,MOTORCYCLE
15416284,1,MOTORCYCLE
15397948,1,MOTORCYCLE
15443021,2,MOTORCYCLE
15330506,1,MOTORCYCLE
15352001,1,MOTORCYCLE
15435778,2,MOTORCYCLE
15420414,2,MOTORCYCLE
15338625,1,MOTORCYCLE
15310472,1,MOTORCYCLE
15462780,2,MOTORCYCLE
15350686,2,MOTORCYCLE
15413129,1,MOTORCYCLE
15384911,1,MOTORCYCLE
15350401,1,MOTORCYCLE
15370987,1,MOTORCYCLE
15415257,2,MOTORCYCLE
15425337,2,MOTORCYCLE
15339729,1,MOTORCYCLE
15353642,1,MOTORCYCLE
15400609,1,MOTORCYCLE
15313370,2,MOTORCYCLE
15399675,1,MOTORCYCLE
15415308,2,MOTORCYCLE
15311089,1,MOTORCYCLE
15426320,2,MOTORCYCLE
15330079,3,MOTORCYCLE
15327483,2,MOTORCYCLE
15355422,2,MOTORCYCLE
15496183,2,MOTORCYCLE
15545234,1,MOTORCYCLE
15491638,1,MOTORCYCLE
15498422,1,MOTORCYCLE
15597352,1,MOTORCYCLE
15504720,1,MOTORCYCLE
15738225,2,MOTORCYCLE
15550369,2,MOTORCYCLE
15617311,1,MOTORCYCLE
15514416,1,MOTORCYCLE
15481288,2,MOTORCYCLE
15511884,2,MOTORCYCLE
15628134,2,MOTORCYCLE
15513712,1,MOTORCYCLE
15630307,2,MOTORCYCLE
15508758,1,MOTORCYCLE
15489859,1,MOTORCYCLE
15552416,1,MOTORCYCLE
15487934,1,MOTORCYCLE
15489485,2,MOTORCYCLE
15522938,2,MOTORCYCLE
15512291,2,MOTORCYCLE
15500991,1,MOTORCYCLE
15499290,1,MOTORCYCLE
15529740,2,MOTORCYCLE
